"STRICLTY EMBARGOED UNTIL DECEMBER 3, 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Rank,Regional Rank,Country / Territory,CPI 2013 Score,,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,,,,,,,,,,,,,
,,,,,,,Lower,Upper,MIN,MAX,,,,,,,,,,,,,
26,1,United Arab Emirates,69,,7,4.7,61,77,54,87,,,,,,,,,,,,,
28,2,Qatar,68,,6,7.2,56,80,45,92,,,,,,,,,,,,,
36,3,Israel,61,,6,1.6,58,64,54,65,,,,,,,,,,,,,
57,4,Bahrain,48,,5,5.4,39,57,36,65,,,,,,,,,,,,,
61,5,Oman,47,,5,7.8,34,60,28,69,,,,,,,,,,,,,
63,6,Saudi Arabia,46,,5,6.7,35,57,36,72,,,,,,,,,,,,,
66,7,Jordan,45,,7,2.4,41,49,36,54,,,,,,,,,,,,,
69,8,Kuwait,43,,5,3.9,37,49,32,52,,,,,,,,,,,,,
77,9,Tunisia,41,,7,1.9,38,44,32,46,,,,,,,,,,,,,
91,10,Morocco,37,,8,2.9,32,42,25,47,,,,,,,,,,,,,
94,11,Algeria,36,,6,2.8,31,41,25,42,,,,,,,,,,,,,
114,12,Egypt,32,,7,3.1,27,37,17,44,,,,,,,,,,,,,
127,13,Lebanon,28,,6,3.3,23,33,17,38,,,,,,,,,,,,,
144,14,Iran,25,,6,3.9,19,31,15,41,,,,,,,,,,,,,
167,15,Yemen,18,,6,2.6,14,22,11,28,,,,,,,,,,,,,
168,16,Syria,17,,4,3.8,11,23,6,22,,,,,,,,,,,,,
171,17,Iraq,16,,4,2.4,12,20,11,21,,,,,,,,,,,,,
172,18,Libya,15,,6,3.3,10,20,2,24,,,,,,,,,,,,,
174,19,Sudan,11,,6,3.5,5,17,0,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Regional average,,,37,,,,,,,,,,,,,,,,,,,,
% of countries below 50,,,84%,,,,,,,,,,,,,,,,,,,,