Country Name,Country Code,CommTotTax_1960,CommTotTax_1961,CommTotTax_1962,CommTotTax_1963,CommTotTax_1964,CommTotTax_1965,CommTotTax_1966,CommTotTax_1967,CommTotTax_1968,CommTotTax_1969,CommTotTax_1970,CommTotTax_1971,CommTotTax_1972,CommTotTax_1973,CommTotTax_1974,CommTotTax_1975,CommTotTax_1976,CommTotTax_1977,CommTotTax_1978,CommTotTax_1979,CommTotTax_1980,CommTotTax_1981,CommTotTax_1982,CommTotTax_1983,CommTotTax_1984,CommTotTax_1985,CommTotTax_1986,CommTotTax_1987,CommTotTax_1988,CommTotTax_1989,CommTotTax_1990,CommTotTax_1991,CommTotTax_1992,CommTotTax_1993,CommTotTax_1994,CommTotTax_1995,CommTotTax_1996,CommTotTax_1997,CommTotTax_1998,CommTotTax_1999,CommTotTax_2000,CommTotTax_2001,CommTotTax_2002,CommTotTax_2003,CommTotTax_2004,CommTotTax_2005,CommTotTax_2006,CommTotTax_2007,CommTotTax_2008,CommTotTax_2009,CommTotTax_2010,CommTotTax_2011,CommTotTax_2012,CommTotTax_2013,CommTotTax_2014,CommTotTax_2015,CommTotTax_2016
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.5,45.5,45.5,45.5
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,79.4
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,49.5,48.9,46.7,46.7,46.7,45.9,44.1,44.0,50.7,49.6,50.7
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,41.1,41.1,40.9,40.9,40.9,40.9,40.9,40.9,39.9,37.5,35.2
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39.0,39.0,39.0,38.8,35.9,35.9,35.9,32.0,32.3,32.3,32.3
High income,HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7723404255,42.3489795918,40.9173076923,39.8264150943,38.9433962264,38.0358490566,37.4127272727,37.2607142857,37.3125,37.6517857143,37.1696428571,36.9785714286
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,24.1,24.1,24.1,23.0,23.0,23.0,23.0,22.6,22.8,22.8,22.9
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,43.5,43.5,43.5,43.5,43.5,43.1,39.5,42.6,41.8,44.3,44.4
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2081081081,83.2157894737,82.05,81.0078947368,81.4184210526,78.3526315789,65.9289473684,65.8421052632,57.7789473684,51.7763157895,52.1263157895,52.6026315789
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20.8,20.8,20.8,20.8,21.5,21.3,21.2,19.3,18.4,20.0,20.9
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.3,40.3,40.3,40.3
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,55.7,55.3,56.6,56.6,54.6,52.0,49.8,49.3,48.0,48.4,46.5
IBRD only,IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8723076923,47.8045454545,47.0363636364,45.9712121212,44.4439393939,43.7090909091,43.5636363636,42.5805970149,42.0402985075,42.1955223881,42.047761194,41.8179104478
IDA & IBRD total,IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7731343284,55.9198529412,54.9551470588,53.9705882353,52.6197080292,51.1569343066,47.5810218978,46.9014285714,44.2685714286,42.3842857143,42.4014285714,42.2864285714
IDA total,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.215942029,63.5714285714,62.4214285714,61.5128571429,60.2197183099,58.0802816901,51.3154929577,50.8671232877,46.3136986301,42.5575342466,42.7260273973,42.7164383562
IDA blend,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.68125,48.30625,47.90625,46.60625,42.225,41.3375,41.50625,41.35,39.98125,36.7,36.86875,37.1625
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,31.3,31.3,31.1,31.8,28.7,28.7,28.7,31.4,31.4,29.7,30.6
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2075471698,68.0944444444,66.7222222222,65.9296296296,65.4545454545,62.9509090909,54.1690909091,53.5385964912,48.0912280702,44.201754386,44.3701754386,44.2754385965
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,74.0,72.7,70.3,66.0,64.7,62.6,62.5,60.8,60.6,60.6,60.6
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,25.4,25.4,25.5,25.6,25.8,25.5,25.6,25.8,26.0,26.0,26.0
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,44.2,44.2,44.2,44.2,44.1,44.1,44.1,44.1,44.1,44.1,44.1
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,26.8,26.3,26.1,24.4,26.4,30.3,31.1,29.8,30.3,30.1,30.1
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,34.8,32.0,30.1,28.3,27.5,26.8,25.6,28.9,26.7,27.9,28.1
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,75.3,75.3,72.5,67.6,67.6,67.6,67.6,65.6,65.2,64.8,62.0
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,47.9,47.9,47.9,47.9,46.7,46.6,46.6,46.5,41.1,35.3,34.3
Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,31.1,31.1,31.1,31.1,31.2,28.2,28.6,29.1,29.0,29.5,27.6
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,51.7,51.7,54.7,55.0,47.7,47.7,48.5,49.8,50.4,50.4,48.9
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,41.9,42.0,36.2,29.8,29.0,29.0,28.9,28.9,29.2,29.2
Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,49.8,49.3,49.3,49.3,49.3,48.9,43.7,37.4,37.1,37.1,37.4
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,67.4,40.3,40.3,40.2,30.6,33.4,33.4,29.0,29.0,29.0,29.0
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.5,21.5,21.5,22.6,22.6,22.6,22.6,21.0,21.0,21.0,21.0
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,32.7,32.7,32.7,32.7
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,52.3,52.5,52.5,52.5,52.5,52.5,51.9,51.6,49.7,49.7,49.7
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,32.5,31.6,33.9,32.3,30.2,34.1,34.0,33.3,33.2,33.2,33.1
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.4,12.4,12.8,13.0,13.0
Latin America & Caribbean (excluding high income),LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.92,49.376,49.288,48.752,48.856,48.368,48.744,48.656,49.068,49.476,48.956,47.408
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,35.2,35.2,33.5,31.4,31.4,31.4,31.4,26.3,25.8,25.3,26.2
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,35.4,35.4,30.6,30.6,30.6,30.6,30.6,30.0,30.3,30.3,30.3
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,42.2,42.5,42.5,42.5,42.5,25.3,28.6,31.4,45.6,45.9
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,32.8,32.6,32.6,32.6
St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,34.0,34.0,34.0,34.4,34.0,34.4,34.6,34.7,34.7,34.7,34.7
Latin America & Caribbean,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8451612903,49.2741935484,48.8375,47.66875,47.54375,47.20625,47.0363636364,46.6545454545,47.0575757576,47.6242424242,47.0515151515,45.8212121212
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,73.7720930233,72.8372093023,71.4953488372,71.3093023256,68.6627906977,57.3348837209,56.2577777778,49.1888888889,44.2822222222,44.3466666667,44.56
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8962962963,92.8178571429,92.0964285714,91.6821428571,91.2035714286,88.2678571429,71.2392857143,69.7413793103,59.0034482759,51.1379310345,51.3655172414,51.7379310345
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,59.8,61.7,61.7,61.7,96.6,112.9,55.3,57.0,55.4,55.2,55.2
Lower middle income,LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7843137255,46.4294117647,45.2980392157,44.1862745098,42.5384615385,41.6692307692,41.7403846154,40.5641509434,40.1377358491,38.9679245283,38.8075471698,38.4849056604
Low & middle income,LMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1873015873,56.271875,55.27734375,54.440625,53.0953488372,51.5775193798,47.784496124,47.1893939394,44.3992424242,42.3666666667,42.3575757576,42.2159090909
Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,20.1,15.9,14.2,14.2,14.2,14.0,13.8,13.6,13.6,13.6,13.6
Late-demographic dividend,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9906976744,43.6,42.0021276596,40.4166666667,38.6979166667,38.0395833333,38.38125,37.1395833333,36.2625,36.3833333333,35.9708333333,35.8979166667
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,47.6,46.2,45.6,43.6,45.1,43.1,43.0,42.9,42.4,42.6,42.7
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,20.0,20.0,20.0,20.0,19.8,20.0,20.4,20.6,20.6,20.8
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,36.2,36.2,36.6,37.5,37.5,37.0,35.8,35.0,35.0,35.9,35.9
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,51.7,52.9,52.9,49.4,49.7,49.7,49.7,48.8,49.0,49.1,49.3
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,45.5,42.5,42.0,31.0,30.4,30.8,30.8,39.7,39.4,39.9,40.4
Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,45.0,45.0,47.1,42.8,42.0,41.2,39.8,38.9,38.1,38.1,38.1
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.3,9.3,9.3,9.3,9.3,9.3,25.9,30.2,30.2,30.2,30.2
Middle East & North Africa,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5647058824,36.3705882353,33.6157894737,32.9263157895,32.6736842105,32.6052631579,31.39,32.1857142857,32.1619047619,32.3761904762,32.4523809524,32.1380952381
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7,53.1,52.3,51.5,51.0,50.5,52.7,52.5,51.7,51.8,51.9,52.0
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
Middle income,MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.992,45.7891089109,44.7287128713,43.7831683168,42.3176470588,41.2107843137,41.0862745098,40.6509615385,40.0855769231,39.6903846154,39.6307692308,39.3557692308
"Macedonia, FYR",MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,17.8,17.8,15.4,13.0,8.1,7.5,7.4,7.4,8.3,13.0,13.0
Mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,51.4,51.4,51.4,51.4,51.4,51.1,51.1,48.3,48.3,48.3,48.3
Malta,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,41.4,41.3,41.5,41.5,43.8
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,33.7,33.4,32.4,31.3
Middle East & North Africa (excluding high income),MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6333333333,43.625,43.2833333333,42.35,42.1166666667,42.175,39.4416666667,40.0076923077,39.6615384615,40.1384615385,40.0,39.2076923077
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,33.2,33.8,30.1,29.2,24.6,21.8,21.6,21.8,21.8,22.2
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,40.0,33.9,24.4,24.7,24.7,24.9,24.5,24.7,24.7,24.7
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.1,36.1,36.1,36.1
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,94.7,94.7,85.8,85.8,68.2,68.2,68.2,65.6,71.3,71.3,71.3
Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,26.0,24.2,25.8,26.0,26.5,25.8,26.9,24.5,23.6,21.5,21.8
Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,33.4,33.0,32.2,26.3,25.9,29.0,32.4,33.5,35.2,34.5,34.5
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.0,36.0,34.5,33.5,33.9,34.1,34.6,39.1,39.3,40.0,40.0
North America,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,46.05,45.0,45.25,44.15,34.25,33.55,33.25,31.85,32.45,32.5,32.5
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,25.8,25.8,22.8,22.3,22.3,21.8,21.8,21.2,20.7,21.3,20.7
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,42.5,42.6,42.5,46.7,46.7,44.3,44.3,47.3,47.8,48.2,48.2
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,31.3,31.3,31.3,31.3,31.3,31.8,32.2,32.4,32.4,33.3,34.3
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,63.5,63.5,63.3,63.3,63.3,64.1,62.4,62.4,59.3,60.1,60.8
